variable,auc,fuerza,pct_nulos,unicos,tasa_baja2_si_nulo
mpagodeservicios,0.4963865383391355,0.0036134616608645143,0.0,1239,
tcuentas,0.5031904940112162,0.003190494011216183,0.0,2,
mprestamos_prendarios,0.4975299533950457,0.0024700466049543124,0.0,1375,
cprestamos_prendarios,0.4982937994534477,0.0017062005465522945,0.0,20,
mplazo_fijo_pesos,0.4983376529386235,0.0016623470613765234,0.0,602,
Master_cadelantosefectivo,0.49834080100316547,0.0016591989968345322,0.5983623625094927,12,0.009733580340419434
Master_madelantopesos,0.49834080100316547,0.0016591989968345322,0.5983623625094927,49,0.009733580340419434
Visa_madelantopesos,0.4984995637029207,0.0015004362970792995,0.1334484701501678,78,0.027719137218907754
Visa_cadelantosefectivo,0.4984995637029207,0.0015004362970792995,0.1334484701501678,14,0.027719137218907754
cliente_vip,0.49912842619566467,0.0008715738043353349,0.0,2,
mcheques_emitidos_rechazados,0.499182830182861,0.0008171698171389741,0.0,197,
ccheques_emitidos_rechazados,0.499182830182861,0.0008171698171389741,0.0,12,
minversion1_dolares,0.499188667206817,0.0008113327931830172,0.0,547,
mcheques_depositados_rechazados,0.4993876404158246,0.0006123595841753815,0.0,252,
ccheques_depositados_rechazados,0.499388225201156,0.0006117747988440003,0.0,8,
mpayroll2,0.49955286934533905,0.00044713065466095436,0.0,129,
cpayroll2_trx,0.49955286934533905,0.00044713065466095436,0.0,5,
ccuenta_corriente,0.49962289738877375,0.0003771026112262543,0.0,3,
mcuenta_corriente_adicional,0.5002568696641554,0.00025686966415539025,0.0,85,
ccajas_otras,0.5002512519346987,0.0002512519346986597,0.0,26,
cforex_buy,0.5002057144843557,0.00020571448435569017,0.0,9,
mforex_buy,0.5002021841136512,0.00020218411365124922,0.0,314,
Visa_madelantodolares,0.49993969877765876,6.0301222341241356e-05,0.1334484701501678,18,0.027719137218907754
Master_madelantodolares,0.4999541235300414,4.587646995857231e-05,0.5983623625094927,7,0.009733580340419434
mcaja_ahorro_adicional,0.50002035377834,2.0353778339976536e-05,0.0,3545,
