prob_baja_2,enviados,TPR,sensibilidad,especificidad,FPR,precision,accuracy,f1,ganancia
0.05065123010130246,6585,0.5478489903424056,0.5478489903424056,0.9632366092078078,0.03676339079219215,0.09476082004555808,0.960339041179785,0.1615743138270326,505312500.0
0.044642857142857144,6809,0.5566286215978928,0.5566286215978928,0.9619168028616362,0.03808319713836383,0.09311205757086209,0.9590896842311555,0.159536990437846,510152500.0
0.038834951456310676,7324,0.5741878841088675,0.5741878841088675,0.9588639797711924,0.04113602022880758,0.08929546695794648,0.9561806423164547,0.15455512229705778,517990000.0
0.0364963503649635,7598,0.5829675153643546,0.5829675153643546,0.9572358074562891,0.04276419254371089,0.08739141879441958,0.9546250704294358,0.15199725306169165,521455000.0
0.03636363636363636,8368,0.607550482879719,0.607550482879719,0.9526596564803108,0.04734034351968919,0.08269598470363289,0.950252321109233,0.1455769433049332,531080000.0
0.033426183844011144,8727,0.6180860403863038,0.6180860403863038,0.9505195966573129,0.04948040334268711,0.0806691875787785,0.9482006810220229,0.14271234542874517,534407500.0
0.032175032175032175,9504,0.6400351185250219,0.6400351185250219,0.9458817724875883,0.05411822751241169,0.07670454545454546,0.9437483158178389,0.13699144977919758,540540000.0
0.030042918454935622,9737,0.646180860403863,0.646180860403863,0.9444879583089211,0.05551204169107893,0.07558796343843073,0.9424070943876927,0.1353438764251563,541832500.0
0.02872340425531915,10677,0.6698858647936786,0.6698858647936786,0.9388571957198804,0.061142804280119645,0.07146202116699447,0.9369809656794297,0.12914691943127962,545682500.0
0.027426160337552744,11151,0.6812993854258121,0.6812993854258121,0.9360140614881741,0.06398593851182588,0.06959017128508654,0.9342372798314593,0.12628152969894224,546947500.0
0.026022304832713755,11420,0.6874451273046532,0.6874451273046532,0.9343982238120201,0.06560177618797991,0.06856392294220666,0.9326755836456726,0.1246914563261406,547250000.0
0.02575107296137339,11653,0.6927129060579456,0.6927129060579456,0.9329982423139782,0.06700175768602179,0.0677078863811894,0.9313221136179908,0.12335834896810506,547442500.0
0.025714285714285714,12003,0.7006145741878841,0.7006145741878841,0.9308951864072281,0.06910481359277187,0.0664833791552112,0.9292888464270841,0.12144270278496425,547717500.0
0.025331724969843185,12832,0.7190517998244074,0.7190517998244074,0.925911992352524,0.07408800764747603,0.06382481296758105,0.9244690232968326,0.11724286021043592,548020000.0
0.025,13032,0.723441615452151,0.723441615452151,0.9247093650744704,0.07529063492552956,0.06322897483118478,0.9233054065309522,0.11629383953143746,548020000.0
0.02252252252252252,13254,0.7278314310798947,0.7278314310798947,0.9233710567701748,0.07662894322982516,0.06254715557567526,0.9220070551921805,0.11519488640311262,547415000.0
0.02247191011235955,13521,0.733099209833187,0.733099209833187,0.9217613864133954,0.07823861358660456,0.061755787293839216,0.9204453590063938,0.11391541609822647,546672500.0
0.022364217252396165,13834,0.7392449517120281,0.7392449517120281,0.9198741866847575,0.08012581331524249,0.060864536648836204,0.9186141936748242,0.11246911106658654,545765000.0
